poll,start,end,name,points
RCP Average,2019-06-28,2019-07-08,biden,27.3
EmersonEmerson,2019-07-06,2019-07-08,biden,30
Politico/Morning ConsultPolitico,2019-07-01,2019-07-07,biden,31
Economist/YouGovEconomist,2019-06-30,2019-07-02,biden,23
ABC News/Wash PostABC/WP,2019-06-28,2019-07-01,biden,30
QuinnipiacQuinnipiac,2019-06-28,2019-07-01,biden,22
The Hill/HarrisXThe Hill,2019-06-29,2019-06-30,biden,33
CNNCNN,2019-06-28,2019-06-30,biden,22
Harvard-HarrisHarris,2019-06-26,2019-06-29,biden,34
Politico/Morning ConsultPolitico,2019-06-27,2019-06-28,biden,33
Economist/YouGovEconomist,2019-06-22,2019-06-25,biden,25
EmersonEmerson,2019-06-21,2019-06-24,biden,34
Politico/Morning ConsultPolitico,2019-06-17,2019-06-23,biden,38
Economist/YouGovEconomist,2019-06-16,2019-06-18,biden,26
MonmouthMonmouth,2019-06-12,2019-06-17,biden,32
The Hill/HarrisXThe Hill,2019-06-14,2019-06-15,biden,35
Politico/Morning ConsultPolitico,2019-06-10,2019-06-16,biden,38
USA Today/SuffolkUSA Today,2019-06-11,2019-06-15,biden,30
FOX NewsFOX News,2019-06-09,2019-06-12,biden,32
Economist/YouGovEconomist,2019-06-09,2019-06-11,biden,27
QuinnipiacQuinnipiac,2019-06-06,2019-06-10,biden,30
Politico/Morning ConsultPolitico,2019-06-03,2019-06-09,biden,37
Economist/YouGovEconomist,2019-06-02,2019-06-04,biden,27
The Hill/HarrisXThe Hill,2019-06-01,2019-06-02,biden,35
Politico/Morning ConsultPolitico,2019-05-27,2019-06-02,biden,38
CNNCNN,2019-05-28,2019-05-31,biden,32
Harvard-HarrisHarris,2019-05-29,2019-05-30,biden,36
Politico/Morning ConsultPolitico,2019-05-20,2019-05-26,biden,38
MonmouthMonmouth,2019-05-16,2019-05-20,biden,33
The Hill/HarrisXThe Hill,2019-05-17,2019-05-18,biden,33
QuinnipiacQuinnipiac,2019-05-16,2019-05-20,biden,35
Politico/Morning ConsultPolitico,2019-05-13,2019-05-20,biden,39
FOX NewsFOX News,2019-05-11,2019-05-14,biden,35
EmersonEmerson,2019-05-10,2019-05-13,biden,33
Politico/Morning ConsultPolitico,2019-05-06,2019-05-12,biden,39
The Hill/HarrisXThe Hill,2019-05-03,2019-05-04,biden,46
Politico/Morning ConsultPolitico,2019-04-29,2019-05-05,biden,40
Harvard-HarrisHarris,2019-04-30,2019-05-01,biden,44
QuinnipiacQuinnipiac,2019-04-26,2019-04-29,biden,38
CNNCNN,2019-04-25,2019-04-28,biden,39
Politico/Morning ConsultPolitico,2019-04-22,2019-04-28,biden,36
MonmouthMonmouth,2019-04-11,2019-04-15,biden,27
Politico/Morning ConsultPolitico,2019-04-15,2019-04-21,biden,30
EmersonEmerson,2019-04-11,2019-04-14,biden,24
Politico/Morning ConsultPolitico,2019-04-08,2019-04-14,biden,31
Politico/Morning ConsultPolitico,2019-04-01,2019-04-07,biden,32
The Hill/HarrisXThe Hill,2019-04-05,2019-04-06,biden,36
Politico/Morning ConsultPolitico,2019-03-25,2019-03-31,biden,33
QuinnipiacQuinnipiac,2019-03-21,2019-03-25,biden,29
RCP Average,2019-06-28,2019-07-08,harris,15
EmersonEmerson,2019-07-06,2019-07-08,harris,15
Politico/Morning ConsultPolitico,2019-07-01,2019-07-07,harris,14
Economist/YouGovEconomist,2019-06-30,2019-07-02,harris,15
ABC News/Wash PostABC/WP,2019-06-28,2019-07-01,harris,13
QuinnipiacQuinnipiac,2019-06-28,2019-07-01,harris,20
The Hill/HarrisXThe Hill,2019-06-29,2019-06-30,harris,11
CNNCNN,2019-06-28,2019-06-30,harris,17
Harvard-HarrisHarris,2019-06-26,2019-06-29,harris,9
Politico/Morning ConsultPolitico,2019-06-27,2019-06-28,harris,12
Economist/YouGovEconomist,2019-06-22,2019-06-25,harris,7
EmersonEmerson,2019-06-21,2019-06-24,harris,7
Politico/Morning ConsultPolitico,2019-06-17,2019-06-23,harris,6
Economist/YouGovEconomist,2019-06-16,2019-06-18,harris,7
MonmouthMonmouth,2019-06-12,2019-06-17,harris,8
The Hill/HarrisXThe Hill,2019-06-14,2019-06-15,harris,5
Politico/Morning ConsultPolitico,2019-06-10,2019-06-16,harris,7
USA Today/SuffolkUSA Today,2019-06-11,2019-06-15,harris,8
FOX NewsFOX News,2019-06-09,2019-06-12,harris,8
Economist/YouGovEconomist,2019-06-09,2019-06-11,harris,7
QuinnipiacQuinnipiac,2019-06-06,2019-06-10,harris,7
Politico/Morning ConsultPolitico,2019-06-03,2019-06-09,harris,7
Economist/YouGovEconomist,2019-06-02,2019-06-04,harris,9
The Hill/HarrisXThe Hill,2019-06-01,2019-06-02,harris,4
Politico/Morning ConsultPolitico,2019-05-27,2019-06-02,harris,7
CNNCNN,2019-05-28,2019-05-31,harris,8
Harvard-HarrisHarris,2019-05-29,2019-05-30,harris,8
Politico/Morning ConsultPolitico,2019-05-20,2019-05-26,harris,7
MonmouthMonmouth,2019-05-16,2019-05-20,harris,11
The Hill/HarrisXThe Hill,2019-05-17,2019-05-18,harris,6
QuinnipiacQuinnipiac,2019-05-16,2019-05-20,harris,8
Politico/Morning ConsultPolitico,2019-05-13,2019-05-20,harris,8
FOX NewsFOX News,2019-05-11,2019-05-14,harris,5
EmersonEmerson,2019-05-10,2019-05-13,harris,10
Politico/Morning ConsultPolitico,2019-05-06,2019-05-12,harris,8
The Hill/HarrisXThe Hill,2019-05-03,2019-05-04,harris,6
Politico/Morning ConsultPolitico,2019-04-29,2019-05-05,harris,7
Harvard-HarrisHarris,2019-04-30,2019-05-01,harris,9
QuinnipiacQuinnipiac,2019-04-26,2019-04-29,harris,8
CNNCNN,2019-04-25,2019-04-28,harris,5
Politico/Morning ConsultPolitico,2019-04-22,2019-04-28,harris,7
MonmouthMonmouth,2019-04-11,2019-04-15,harris,8
Politico/Morning ConsultPolitico,2019-04-15,2019-04-21,harris,8
EmersonEmerson,2019-04-11,2019-04-14,harris,8
Politico/Morning ConsultPolitico,2019-04-08,2019-04-14,harris,9
Politico/Morning ConsultPolitico,2019-04-01,2019-04-07,harris,9
The Hill/HarrisXThe Hill,2019-04-05,2019-04-06,harris,9
Politico/Morning ConsultPolitico,2019-03-25,2019-03-31,harris,8
QuinnipiacQuinnipiac,2019-03-21,2019-03-25,harris,8
RCP Average,2019-06-28,2019-07-08,sanders,14.9
EmersonEmerson,2019-07-06,2019-07-08,sanders,15
Politico/Morning ConsultPolitico,2019-07-01,2019-07-07,sanders,19
Economist/YouGovEconomist,2019-06-30,2019-07-02,sanders,9
ABC News/Wash PostABC/WP,2019-06-28,2019-07-01,sanders,19
QuinnipiacQuinnipiac,2019-06-28,2019-07-01,sanders,13
The Hill/HarrisXThe Hill,2019-06-29,2019-06-30,sanders,15
CNNCNN,2019-06-28,2019-06-30,sanders,14
Harvard-HarrisHarris,2019-06-26,2019-06-29,sanders,15
Politico/Morning ConsultPolitico,2019-06-27,2019-06-28,sanders,19
Economist/YouGovEconomist,2019-06-22,2019-06-25,sanders,15
EmersonEmerson,2019-06-21,2019-06-24,sanders,27
Politico/Morning ConsultPolitico,2019-06-17,2019-06-23,sanders,19
Economist/YouGovEconomist,2019-06-16,2019-06-18,sanders,12
MonmouthMonmouth,2019-06-12,2019-06-17,sanders,14
The Hill/HarrisXThe Hill,2019-06-14,2019-06-15,sanders,13
Politico/Morning ConsultPolitico,2019-06-10,2019-06-16,sanders,19
USA Today/SuffolkUSA Today,2019-06-11,2019-06-15,sanders,15
FOX NewsFOX News,2019-06-09,2019-06-12,sanders,13
Economist/YouGovEconomist,2019-06-09,2019-06-11,sanders,12
QuinnipiacQuinnipiac,2019-06-06,2019-06-10,sanders,19
Politico/Morning ConsultPolitico,2019-06-03,2019-06-09,sanders,19
Economist/YouGovEconomist,2019-06-02,2019-06-04,sanders,15
The Hill/HarrisXThe Hill,2019-06-01,2019-06-02,sanders,16
Politico/Morning ConsultPolitico,2019-05-27,2019-06-02,sanders,19
CNNCNN,2019-05-28,2019-05-31,sanders,18
Harvard-HarrisHarris,2019-05-29,2019-05-30,sanders,17
Politico/Morning ConsultPolitico,2019-05-20,2019-05-26,sanders,20
MonmouthMonmouth,2019-05-16,2019-05-20,sanders,15
The Hill/HarrisXThe Hill,2019-05-17,2019-05-18,sanders,14
QuinnipiacQuinnipiac,2019-05-16,2019-05-20,sanders,16
Politico/Morning ConsultPolitico,2019-05-13,2019-05-20,sanders,19
FOX NewsFOX News,2019-05-11,2019-05-14,sanders,17
EmersonEmerson,2019-05-10,2019-05-13,sanders,25
Politico/Morning ConsultPolitico,2019-05-06,2019-05-12,sanders,19
The Hill/HarrisXThe Hill,2019-05-03,2019-05-04,sanders,14
Politico/Morning ConsultPolitico,2019-04-29,2019-05-05,sanders,19
Harvard-HarrisHarris,2019-04-30,2019-05-01,sanders,14
QuinnipiacQuinnipiac,2019-04-26,2019-04-29,sanders,11
CNNCNN,2019-04-25,2019-04-28,sanders,15
Politico/Morning ConsultPolitico,2019-04-22,2019-04-28,sanders,22
MonmouthMonmouth,2019-04-11,2019-04-15,sanders,20
Politico/Morning ConsultPolitico,2019-04-15,2019-04-21,sanders,24
EmersonEmerson,2019-04-11,2019-04-14,sanders,29
Politico/Morning ConsultPolitico,2019-04-08,2019-04-14,sanders,23
Politico/Morning ConsultPolitico,2019-04-01,2019-04-07,sanders,23
The Hill/HarrisXThe Hill,2019-04-05,2019-04-06,sanders,19
Politico/Morning ConsultPolitico,2019-03-25,2019-03-31,sanders,25
QuinnipiacQuinnipiac,2019-03-21,2019-03-25,sanders,19
RCP Average,2019-06-28,2019-07-08,warren,13.9
EmersonEmerson,2019-07-06,2019-07-08,warren,15
Politico/Morning ConsultPolitico,2019-07-01,2019-07-07,warren,13
Economist/YouGovEconomist,2019-06-30,2019-07-02,warren,19
ABC News/Wash PostABC/WP,2019-06-28,2019-07-01,warren,12
QuinnipiacQuinnipiac,2019-06-28,2019-07-01,warren,14
The Hill/HarrisXThe Hill,2019-06-29,2019-06-30,warren,9
CNNCNN,2019-06-28,2019-06-30,warren,15
Harvard-HarrisHarris,2019-06-26,2019-06-29,warren,11
Politico/Morning ConsultPolitico,2019-06-27,2019-06-28,warren,12
Economist/YouGovEconomist,2019-06-22,2019-06-25,warren,19
EmersonEmerson,2019-06-21,2019-06-24,warren,14
Politico/Morning ConsultPolitico,2019-06-17,2019-06-23,warren,13
Economist/YouGovEconomist,2019-06-16,2019-06-18,warren,16
MonmouthMonmouth,2019-06-12,2019-06-17,warren,15
The Hill/HarrisXThe Hill,2019-06-14,2019-06-15,warren,7
Politico/Morning ConsultPolitico,2019-06-10,2019-06-16,warren,11
USA Today/SuffolkUSA Today,2019-06-11,2019-06-15,warren,10
FOX NewsFOX News,2019-06-09,2019-06-12,warren,9
Economist/YouGovEconomist,2019-06-09,2019-06-11,warren,16
QuinnipiacQuinnipiac,2019-06-06,2019-06-10,warren,15
Politico/Morning ConsultPolitico,2019-06-03,2019-06-09,warren,11
Economist/YouGovEconomist,2019-06-02,2019-06-04,warren,12
The Hill/HarrisXThe Hill,2019-06-01,2019-06-02,warren,5
Politico/Morning ConsultPolitico,2019-05-27,2019-06-02,warren,10
CNNCNN,2019-05-28,2019-05-31,warren,7
Harvard-HarrisHarris,2019-05-29,2019-05-30,warren,5
Politico/Morning ConsultPolitico,2019-05-20,2019-05-26,warren,9
MonmouthMonmouth,2019-05-16,2019-05-20,warren,10
The Hill/HarrisXThe Hill,2019-05-17,2019-05-18,warren,8
QuinnipiacQuinnipiac,2019-05-16,2019-05-20,warren,13
Politico/Morning ConsultPolitico,2019-05-13,2019-05-20,warren,9
FOX NewsFOX News,2019-05-11,2019-05-14,warren,9
EmersonEmerson,2019-05-10,2019-05-13,warren,10
Politico/Morning ConsultPolitico,2019-05-06,2019-05-12,warren,8
The Hill/HarrisXThe Hill,2019-05-03,2019-05-04,warren,7
